Id,species1,species2,species3
sample_1,0.987532607409481,0.0123613833081958,0.000106009282322653
sample_2,0.0979783329999237,0.902014185169101,7.48183097542465e-06
sample_3,0.931404176744726,0.0685762396777304,1.95835775430761e-05
sample_4,0.881751233699061,0.118236004966194,1.2761334745535e-05
sample_5,0.0330097750403725,0.96698173904707,8.48591255739943e-06
sample_6,2.83618931878305e-05,2.21305742057235e-05,0.999949507532606
sample_7,0.954939150576331,0.0450376494323466,2.31999913223244e-05
sample_8,0.667033313843643,1.24612830616647e-05,0.332954224873295
sample_9,0.00171727031787749,0.99827805900029,4.6706818324292e-06
sample_10,0.0197177811474025,0.980278087082391,4.13177020605614e-06
sample_11,7.17376563674215e-05,1.30031103013139e-05,0.999915259233331
sample_12,5.84127308923207e-05,0.999927045950383,1.45413187248144e-05
sample_13,0.116458807161493,8.30364746233832e-06,0.883532889191045
sample_14,0.994826826059732,0.000145522332754877,0.00502765160751321
sample_15,9.8931183019383e-05,2.60075815626887e-05,0.999875061235418
sample_16,0.84420110544348,0.155787848636303,1.10459202173285e-05
sample_17,3.73009282754022e-05,1.0083692337842e-05,0.999952615379387
sample_18,0.0116453047208332,4.0968486758535e-06,0.988350598430491
sample_19,0.376956394708637,0.623007204833769,3.64004575943406e-05
sample_20,0.989117125470595,0.0107574284537449,0.000125446075660306
sample_21,0.0172482901975506,0.982745792539655,5.91726279467126e-06
sample_22,0.00395653810013996,5.97772577320291e-06,0.996037484174087
sample_23,0.0213490643170249,5.80809195901589e-06,0.978645127591016
sample_24,0.000286287063090937,1.65298006011653e-05,0.999697183136308
sample_25,7.31598701993981e-05,6.47078958953874e-06,0.999920369340211
sample_26,0.974982048269952,7.33810751309033e-05,0.024944570654917
sample_27,0.500208450758006,0.499782589335278,8.9599067164926e-06
sample_28,0.977955214740427,0.0219696800925641,7.51051670088734e-05
sample_29,0.0279306335264718,0.972063746254003,5.62021952497566e-06
sample_30,0.624686183896408,1.69499359540586e-05,0.375296866167638
sample_31,0.989294796137692,7.51530887516118e-05,0.0106300507735564
sample_32,0.944932890024637,3.35608525363528e-05,0.055033549122827
sample_33,0.993071419795656,0.00681479640594984,0.000113783798394064
sample_34,0.0740818896576174,0.92591245095166,5.65939072249727e-06
sample_35,0.0729894424654871,1.58085940935129e-05,0.926994748940419
sample_36,0.112623590259246,8.03382705171118e-06,0.887368375913702
sample_37,0.000216912066029755,0.99977577651564,7.31141833074519e-06
sample_38,0.000332402592223379,4.43425132231956e-06,0.999663163156454
sample_39,0.182796029915753,0.817197425516094,6.5445681535662e-06
sample_40,0.976637257177768,8.06735663761054e-05,0.0232820692558558
sample_41,0.000142264970533092,4.99265841626712e-06,0.999852742371051
sample_42,0.000387802744179123,0.999605993887902,6.20336791869958e-06
sample_43,0.00741526804031658,0.992578810960877,5.92099880619483e-06
sample_44,0.997425891543972,0.0018955455561638,0.000678562899864307
sample_45,0.00169100578100189,7.28868379133556e-06,0.998301705535207
sample_46,0.181151050716677,0.818841697214429,7.25206889378466e-06
sample_47,0.998066346846589,0.000835523800967928,0.00109812935244278
sample_48,0.00545709177948135,0.994539330125542,3.57809497701686e-06
sample_49,0.873830534004842,1.81184410443318e-05,0.126151347554113
sample_50,0.997137193742517,0.00214926090600369,0.000713545351479057
sample_51,0.00330527479320584,9.19763458264813e-06,0.996685527572212
sample_52,0.499557247452177,0.500433067576414,9.68497140865007e-06
sample_53,0.0177779661123822,0.982214701161603,7.33272601455151e-06
sample_54,0.00303949032664574,0.996953348558143,7.16111521093885e-06
sample_55,0.856785785773747,0.143180889332494,3.33248937595025e-05
sample_56,0.987603990792755,8.11971653309836e-05,0.0123148120419144
sample_57,0.997913272732474,0.000490177001232105,0.00159655026629345
sample_58,0.0371216664926306,0.962873184746357,5.14876101278104e-06
sample_59,0.0754569075052111,0.924536650406914,6.44208787494829e-06
sample_60,0.996702062825888,0.00296055859621332,0.000337378577898582
sample_61,0.0191424363288535,0.980853638174601,3.92549654532853e-06
sample_62,0.0559154970396391,0.94407966564202,4.83731834147432e-06
sample_63,0.996900807955953,0.00063092003423587,0.00246827200981141
