id,result
1257_1278,0.626249179333813
1261_1463,0.688183264625685
1120_1308,0.536396863241477
1199_1436,0.677119640152069
1133_1277,0.129746604519347
1125_1268,0.415256561209023
1242_1318,0.659645536326829
1266_1293,0.65063329535935
1196_1305,0.444220981006244
1101_1246,0.110541985846696
1192_1211,0.0741846235669427
1388_1437,0.484968579751287
1371_1459,0.376177990170609
1276_1285,0.878743761008942
1124_1393,0.454959067916844
1330_1345,0.139231206499545
1153_1234,0.512965152700748
1279_1328,0.364869605047719
1297_1403,0.277513066340764
1243_1414,0.738604148409686
1159_1397,0.139227846468384
1205_1438,0.101518092152083
1113_1138,0.354956204608061
1332_1458,0.39693164146203
1429_1449,0.574057627147368
1181_1295,0.902997938523272
1209_1222,0.240329436850141
1251_1280,0.44497414947578
1233_1314,0.0667884421728574
1416_1433,0.622695891202331
1235_1326,0.623298822148639
1387_1439,0.182531352531214
1261_1268,0.486020816921913
1246_1459,0.555088033527866
1196_1276,0.346070160814786
1277_1278,0.693791143031097
1199_1293,0.699233880409504
1124_1211,0.476073645735211
1345_1437,0.564386441263041
1120_1242,0.416105000594131
1234_1397,0.356065000784239
1314_1449,0.623525462758711
1181_1416,0.629417534636651
1138_1403,0.442674458838762
1251_1439,0.304841841478274
1328_1438,0.3851075054318
1222_1326,0.567318972816051
1332_1414,0.668087930402664
1199_1211,0.524201850700535
1345_1397,0.464284047399097
1276_1403,0.543525808481995
1332_1438,0.304025570488898
1261_1277,0.453364899444435
1120_1314,0.410326636804566
1181_1439,0.480337674379112
1222_1246,0.421505952940764
1211_1403,0.576198048795855
1345_1438,0.430758567597869
1120_1246,0.41096832614408
1181_1277,0.50940795257871
1277_1403,0.541806209972747
1120_1438,0.395201390548508
1403_1438,0.465988035919278
